Ep,Step,Reward,Total_reward,Action,Epsilon,Done,Termination_Code
164.0,1.0,0.0,0.0,0.0,0.9295668775782806,0.0
164.0,2.0,-1.0,-1.0,3.0,0.9295668775782806,0.0
164.0,3.0,0.0,-1.0,3.0,0.9295668775782806,0.0
164.0,4.0,0.0,-1.0,4.0,0.9295668775782806,0.0
164.0,5.0,0.0,-1.0,5.0,0.9295668775782806,0.0
164.0,6.0,0.0,-1.0,4.0,0.9295668775782806,0.0
164.0,7.0,-1.0,-2.0,2.0,0.9295668775782806,0.0
164.0,8.0,0.0,-2.0,0.0,0.9295668775782806,0.0
164.0,9.0,0.0,-2.0,4.0,0.9295668775782806,0.0
164.0,10.0,0.0,-2.0,0.0,0.9295668775782806,0.0
164.0,11.0,0.0,-2.0,0.0,0.9295668775782806,0.0
164.0,12.0,0.0,-2.0,4.0,0.9295668775782806,0.0
164.0,13.0,0.0,-2.0,2.0,0.9295668775782806,0.0
164.0,14.0,0.0,-2.0,1.0,0.9295668775782806,0.0
164.0,15.0,0.0,-2.0,0.0,0.9295668775782806,0.0
164.0,16.0,0.0,-2.0,1.0,0.9295668775782806,0.0
164.0,17.0,-10.0,-12.0,2.0,0.9295668775782806,1.0
165.0,1.0,0.0,0.0,0.0,0.9286373107007023,0.0
165.0,2.0,-1.0,-1.0,0.0,0.9286373107007023,0.0
165.0,3.0,-1.0,-2.0,5.0,0.9286373107007023,0.0
165.0,4.0,-3.0,-5.0,0.0,0.9286373107007023,0.0
165.0,5.0,-11.0,-16.0,1.0,0.9286373107007023,1.0
166.0,1.0,0.0,0.0,2.0,0.9277086733900016,0.0
166.0,2.0,0.0,0.0,1.0,0.9277086733900016,0.0
166.0,3.0,0.0,0.0,0.0,0.9277086733900016,0.0
166.0,4.0,0.0,0.0,2.0,0.9277086733900016,0.0
166.0,5.0,-10.0,-10.0,2.0,0.9277086733900016,1.0
167.0,1.0,0.0,0.0,0.0,0.9267809647166116,0.0
167.0,2.0,0.0,0.0,0.0,0.9267809647166116,0.0
167.0,3.0,0.0,0.0,3.0,0.9267809647166116,0.0
167.0,4.0,0.0,0.0,1.0,0.9267809647166116,0.0
167.0,5.0,0.0,0.0,2.0,0.9267809647166116,0.0
167.0,6.0,0.0,0.0,1.0,0.9267809647166116,0.0
167.0,7.0,0.0,0.0,5.0,0.9267809647166116,0.0
167.0,8.0,0.0,0.0,0.0,0.9267809647166116,0.0
167.0,9.0,0.0,0.0,0.0,0.9267809647166116,0.0
167.0,10.0,0.0,0.0,5.0,0.9267809647166116,0.0
167.0,11.0,-10.0,-10.0,2.0,0.9267809647166116,1.0
168.0,1.0,-1.0,-1.0,2.0,0.925854183751895,0.0
168.0,2.0,-1.0,-2.0,4.0,0.925854183751895,0.0
168.0,3.0,0.0,-2.0,3.0,0.925854183751895,0.0
168.0,4.0,0.0,-2.0,1.0,0.925854183751895,0.0
168.0,5.0,0.0,-2.0,5.0,0.925854183751895,0.0
168.0,6.0,-1.0,-3.0,1.0,0.925854183751895,0.0
168.0,7.0,-1.0,-4.0,4.0,0.925854183751895,0.0
168.0,8.0,-1.0,-5.0,4.0,0.925854183751895,0.0
168.0,9.0,0.0,-5.0,0.0,0.925854183751895,0.0
168.0,10.0,0.0,-5.0,5.0,0.925854183751895,0.0
168.0,11.0,-1.0,-6.0,3.0,0.925854183751895,0.0
168.0,12.0,-3.0,-9.0,1.0,0.925854183751895,0.0
168.0,13.0,-1.0,-10.0,2.0,0.925854183751895,0.0
168.0,14.0,-11.0,-21.0,5.0,0.925854183751895,1.0
169.0,1.0,0.0,0.0,0.0,0.9249283295681431,0.0
169.0,2.0,0.0,0.0,5.0,0.9249283295681431,0.0
169.0,3.0,0.0,0.0,4.0,0.9249283295681431,0.0
169.0,4.0,0.0,0.0,2.0,0.9249283295681431,0.0
169.0,5.0,0.0,0.0,4.0,0.9249283295681431,0.0
169.0,6.0,0.0,0.0,0.0,0.9249283295681431,0.0
169.0,7.0,0.0,0.0,5.0,0.9249283295681431,0.0
169.0,8.0,0.0,0.0,1.0,0.9249283295681431,0.0
169.0,9.0,0.0,0.0,0.0,0.9249283295681431,0.0
169.0,10.0,0.0,0.0,0.0,0.9249283295681431,0.0
169.0,11.0,0.0,0.0,4.0,0.9249283295681431,0.0
169.0,12.0,0.0,0.0,0.0,0.9249283295681431,0.0
169.0,13.0,0.0,0.0,5.0,0.9249283295681431,0.0
169.0,14.0,0.0,0.0,5.0,0.9249283295681431,0.0
169.0,15.0,0.0,0.0,5.0,0.9249283295681431,0.0
169.0,16.0,-10.0,-10.0,2.0,0.9249283295681431,1.0
170.0,1.0,-1.0,-1.0,2.0,0.9240034012385749,0.0
170.0,2.0,-3.0,-4.0,1.0,0.9240034012385749,0.0
170.0,3.0,0.0,-4.0,3.0,0.9240034012385749,0.0
170.0,4.0,0.0,-4.0,1.0,0.9240034012385749,0.0
170.0,5.0,0.0,-4.0,4.0,0.9240034012385749,0.0
170.0,6.0,50.0,46.0,5.0,0.9240034012385749,0.0
170.0,7.0,25.0,71.0,5.0,0.9240034012385749,0.0
170.0,8.0,0.0,71.0,4.0,0.9240034012385749,0.0
170.0,9.0,0.0,71.0,4.0,0.9240034012385749,0.0
170.0,10.0,0.0,71.0,5.0,0.9240034012385749,0.0
170.0,11.0,0.0,71.0,0.0,0.9240034012385749,0.0
170.0,12.0,-3.0,68.0,0.0,0.9240034012385749,0.0
170.0,13.0,-10.0,58.0,3.0,0.9240034012385749,1.0
171.0,1.0,-3.0,-3.0,2.0,0.9230793978373364,0.0
171.0,2.0,0.0,-3.0,1.0,0.9230793978373364,0.0
171.0,3.0,50.0,47.0,5.0,0.9230793978373364,0.0
171.0,4.0,0.0,47.0,4.0,0.9230793978373364,0.0
171.0,5.0,-3.0,44.0,2.0,0.9230793978373364,0.0
171.0,6.0,0.0,44.0,0.0,0.9230793978373364,0.0
171.0,7.0,0.0,44.0,4.0,0.9230793978373364,0.0
171.0,8.0,-3.0,41.0,1.0,0.9230793978373364,0.0
171.0,9.0,-3.0,38.0,4.0,0.9230793978373364,0.0
171.0,10.0,0.0,38.0,0.0,0.9230793978373364,0.0
171.0,11.0,0.0,38.0,0.0,0.9230793978373364,0.0
171.0,12.0,0.0,38.0,3.0,0.9230793978373364,0.0
171.0,13.0,0.0,38.0,3.0,0.9230793978373364,0.0
171.0,14.0,0.0,38.0,4.0,0.9230793978373364,0.0
171.0,15.0,0.0,38.0,0.0,0.9230793978373364,0.0
171.0,16.0,0.0,38.0,4.0,0.9230793978373364,0.0
171.0,17.0,0.0,38.0,2.0,0.9230793978373364,0.0
171.0,18.0,0.0,38.0,4.0,0.9230793978373364,0.0
171.0,19.0,0.0,38.0,1.0,0.9230793978373364,0.0
171.0,20.0,0.0,38.0,5.0,0.9230793978373364,0.0
171.0,21.0,0.0,38.0,5.0,0.9230793978373364,0.0
171.0,22.0,0.0,38.0,0.0,0.9230793978373364,0.0
171.0,23.0,0.0,38.0,0.0,0.9230793978373364,0.0
171.0,24.0,-3.0,35.0,0.0,0.9230793978373364,0.0
171.0,25.0,-1.0,34.0,0.0,0.9230793978373364,0.0
171.0,26.0,-1.0,33.0,5.0,0.9230793978373364,0.0
171.0,27.0,-1.0,32.0,4.0,0.9230793978373364,0.0
171.0,28.0,-1.0,31.0,5.0,0.9230793978373364,0.0
171.0,29.0,-13.0,18.0,1.0,0.9230793978373364,1.0
172.0,1.0,-2.0,-2.0,4.0,0.9221563184394991,0.0
172.0,2.0,-1.0,-3.0,0.0,0.9221563184394991,0.0
172.0,3.0,-1.0,-4.0,5.0,0.9221563184394991,0.0
172.0,4.0,0.0,-4.0,0.0,0.9221563184394991,0.0
172.0,5.0,-1.0,-5.0,1.0,0.9221563184394991,0.0
172.0,6.0,0.0,-5.0,1.0,0.9221563184394991,0.0
172.0,7.0,0.0,-5.0,4.0,0.9221563184394991,0.0
172.0,8.0,-1.0,-6.0,1.0,0.9221563184394991,0.0
172.0,9.0,-11.0,-17.0,3.0,0.9221563184394991,1.0
173.0,1.0,-3.0,-3.0,1.0,0.9212341621210596,0.0
173.0,2.0,0.0,-3.0,3.0,0.9212341621210596,0.0
173.0,3.0,-3.0,-6.0,0.0,0.9212341621210596,0.0
173.0,4.0,-3.0,-9.0,4.0,0.9212341621210596,0.0
173.0,5.0,-3.0,-12.0,5.0,0.9212341621210596,0.0
173.0,6.0,-3.0,-15.0,3.0,0.9212341621210596,0.0
173.0,7.0,-3.0,-18.0,3.0,0.9212341621210596,0.0
173.0,8.0,0.0,-18.0,0.0,0.9212341621210596,0.0
173.0,9.0,0.0,-18.0,0.0,0.9212341621210596,0.0
173.0,10.0,-1.0,-19.0,0.0,0.9212341621210596,0.0
173.0,11.0,0.0,-19.0,1.0,0.9212341621210596,0.0
173.0,12.0,-11.0,-30.0,0.0,0.9212341621210596,1.0
174.0,1.0,0.0,0.0,4.0,0.9203129279589385,0.0
174.0,2.0,-3.0,-3.0,1.0,0.9203129279589385,0.0
174.0,3.0,-3.0,-6.0,5.0,0.9203129279589385,0.0
174.0,4.0,-3.0,-9.0,5.0,0.9203129279589385,0.0
174.0,5.0,-3.0,-12.0,4.0,0.9203129279589385,0.0
174.0,6.0,0.0,-12.0,1.0,0.9203129279589385,0.0
174.0,7.0,0.0,-12.0,2.0,0.9203129279589385,0.0
174.0,8.0,-1.0,-13.0,2.0,0.9203129279589385,0.0
174.0,9.0,0.0,-13.0,1.0,0.9203129279589385,0.0
174.0,10.0,0.0,-13.0,4.0,0.9203129279589385,0.0
174.0,11.0,0.0,-13.0,4.0,0.9203129279589385,0.0
174.0,12.0,-1.0,-14.0,0.0,0.9203129279589385,0.0
174.0,13.0,-1.0,-15.0,5.0,0.9203129279589385,0.0
174.0,14.0,-1.0,-16.0,4.0,0.9203129279589385,0.0
174.0,15.0,0.0,-16.0,3.0,0.9203129279589385,0.0
174.0,16.0,0.0,-16.0,1.0,0.9203129279589385,0.0
174.0,17.0,0.0,-16.0,0.0,0.9203129279589385,0.0
174.0,18.0,-3.0,-19.0,0.0,0.9203129279589385,0.0
174.0,19.0,-3.0,-22.0,4.0,0.9203129279589385,0.0
174.0,20.0,-3.0,-25.0,3.0,0.9203129279589385,0.0
174.0,21.0,0.0,-25.0,0.0,0.9203129279589385,0.0
174.0,22.0,-1.0,-26.0,2.0,0.9203129279589385,0.0
174.0,23.0,-10.0,-36.0,3.0,0.9203129279589385,1.0
175.0,1.0,0.0,0.0,0.0,0.9193926150309796,0.0
175.0,2.0,-1.0,-1.0,1.0,0.9193926150309796,0.0
175.0,3.0,-1.0,-2.0,4.0,0.9193926150309796,0.0
175.0,4.0,-1.0,-3.0,5.0,0.9193926150309796,0.0
175.0,5.0,-1.0,-4.0,4.0,0.9193926150309796,0.0
175.0,6.0,0.0,-4.0,2.0,0.9193926150309796,0.0
175.0,7.0,-1.0,-5.0,1.0,0.9193926150309796,0.0
175.0,8.0,-3.0,-8.0,1.0,0.9193926150309796,0.0
175.0,9.0,-1.0,-9.0,2.0,0.9193926150309796,0.0
175.0,10.0,0.0,-9.0,0.0,0.9193926150309796,0.0
175.0,11.0,0.0,-9.0,2.0,0.9193926150309796,0.0
175.0,12.0,0.0,-9.0,5.0,0.9193926150309796,0.0
175.0,13.0,0.0,-9.0,3.0,0.9193926150309796,0.0
175.0,14.0,-10.0,-19.0,0.0,0.9193926150309796,1.0
176.0,1.0,-3.0,-3.0,1.0,0.9184732224159486,0.0
176.0,2.0,-3.0,-6.0,0.0,0.9184732224159486,0.0
176.0,3.0,-3.0,-9.0,0.0,0.9184732224159486,0.0
176.0,4.0,0.0,-9.0,3.0,0.9184732224159486,0.0
176.0,5.0,0.0,-9.0,0.0,0.9184732224159486,0.0
176.0,6.0,0.0,-9.0,0.0,0.9184732224159486,0.0
176.0,7.0,0.0,-9.0,2.0,0.9184732224159486,0.0
176.0,8.0,0.0,-9.0,2.0,0.9184732224159486,0.0
176.0,9.0,0.0,-9.0,2.0,0.9184732224159486,0.0
176.0,10.0,-13.0,-22.0,1.0,0.9184732224159486,1.0
177.0,1.0,0.0,0.0,4.0,0.9175547491935327,0.0
177.0,2.0,0.0,0.0,0.0,0.9175547491935327,0.0
177.0,3.0,-3.0,-3.0,3.0,0.9175547491935327,0.0
177.0,4.0,-3.0,-6.0,4.0,0.9175547491935327,0.0
177.0,5.0,-3.0,-9.0,5.0,0.9175547491935327,0.0
177.0,6.0,-3.0,-12.0,4.0,0.9175547491935327,0.0
177.0,7.0,0.0,-12.0,0.0,0.9175547491935327,0.0
177.0,8.0,0.0,-12.0,3.0,0.9175547491935327,0.0
177.0,9.0,-3.0,-15.0,0.0,0.9175547491935327,0.0
177.0,10.0,-3.0,-18.0,4.0,0.9175547491935327,0.0
177.0,11.0,-3.0,-21.0,4.0,0.9175547491935327,0.0
177.0,12.0,-3.0,-24.0,3.0,0.9175547491935327,0.0
177.0,13.0,-3.0,-27.0,1.0,0.9175547491935327,0.0
177.0,14.0,-3.0,-30.0,0.0,0.9175547491935327,0.0
177.0,15.0,-3.0,-33.0,5.0,0.9175547491935327,0.0
177.0,16.0,-13.0,-46.0,2.0,0.9175547491935327,1.0
178.0,1.0,-1.0,-1.0,4.0,0.9166371944443392,0.0
178.0,2.0,-3.0,-4.0,0.0,0.9166371944443392,0.0
178.0,3.0,0.0,-4.0,2.0,0.9166371944443392,0.0
178.0,4.0,0.0,-4.0,2.0,0.9166371944443392,0.0
178.0,5.0,50.0,46.0,5.0,0.9166371944443392,0.0
178.0,6.0,50.0,96.0,5.0,0.9166371944443392,0.0
178.0,7.0,0.0,96.0,3.0,0.9166371944443392,0.0
178.0,8.0,0.0,96.0,2.0,0.9166371944443392,0.0
178.0,9.0,50.0,146.0,5.0,0.9166371944443392,0.0
178.0,10.0,0.0,146.0,3.0,0.9166371944443392,0.0
178.0,11.0,-10.0,136.0,5.0,0.9166371944443392,1.0
179.0,1.0,-2.0,-2.0,5.0,0.9157205572498949,0.0
179.0,2.0,0.0,-2.0,0.0,0.9157205572498949,0.0
179.0,3.0,0.0,-2.0,0.0,0.9157205572498949,0.0
179.0,4.0,0.0,-2.0,4.0,0.9157205572498949,0.0
179.0,5.0,0.0,-2.0,1.0,0.9157205572498949,0.0
179.0,6.0,0.0,-2.0,0.0,0.9157205572498949,0.0
179.0,7.0,0.0,-2.0,3.0,0.9157205572498949,0.0
179.0,8.0,0.0,-2.0,1.0,0.9157205572498949,0.0
179.0,9.0,-1.0,-3.0,3.0,0.9157205572498949,0.0
179.0,10.0,-1.0,-4.0,4.0,0.9157205572498949,0.0
179.0,11.0,-1.0,-5.0,4.0,0.9157205572498949,0.0
179.0,12.0,0.0,-5.0,3.0,0.9157205572498949,0.0
179.0,13.0,0.0,-5.0,0.0,0.9157205572498949,0.0
179.0,14.0,-3.0,-8.0,0.0,0.9157205572498949,0.0
179.0,15.0,-3.0,-11.0,4.0,0.9157205572498949,0.0
179.0,16.0,-3.0,-14.0,4.0,0.9157205572498949,0.0
179.0,17.0,0.0,-14.0,3.0,0.9157205572498949,0.0
179.0,18.0,0.0,-14.0,5.0,0.9157205572498949,0.0
179.0,19.0,0.0,-14.0,3.0,0.9157205572498949,0.0
179.0,20.0,0.0,-14.0,2.0,0.9157205572498949,0.0
179.0,21.0,-3.0,-17.0,2.0,0.9157205572498949,0.0
179.0,22.0,0.0,-17.0,2.0,0.9157205572498949,0.0
179.0,23.0,0.0,-17.0,5.0,0.9157205572498949,0.0
179.0,24.0,-13.0,-30.0,3.0,0.9157205572498949,1.0
180.0,1.0,0.0,0.0,2.0,0.914804836692645,0.0
180.0,2.0,-1.0,-1.0,1.0,0.914804836692645,0.0
180.0,3.0,-10.0,-11.0,2.0,0.914804836692645,1.0
181.0,1.0,-3.0,-3.0,5.0,0.9138900318559524,0.0
181.0,2.0,-1.0,-4.0,0.0,0.9138900318559524,0.0
181.0,3.0,-1.0,-5.0,4.0,0.9138900318559524,0.0
181.0,4.0,-1.0,-6.0,5.0,0.9138900318559524,0.0
181.0,5.0,-3.0,-9.0,3.0,0.9138900318559524,0.0
181.0,6.0,-1.0,-10.0,2.0,0.9138900318559524,0.0
181.0,7.0,0.0,-10.0,0.0,0.9138900318559524,0.0
181.0,8.0,-10.0,-20.0,3.0,0.9138900318559524,1.0
182.0,1.0,-1.0,-1.0,3.0,0.9129761418240965,0.0
182.0,2.0,-1.0,-2.0,5.0,0.9129761418240965,0.0
182.0,3.0,0.0,-2.0,1.0,0.9129761418240965,0.0
182.0,4.0,-1.0,-3.0,0.0,0.9129761418240965,0.0
182.0,5.0,-13.0,-16.0,3.0,0.9129761418240965,1.0
183.0,1.0,-1.0,-1.0,1.0,0.9120631656822724,0.0
183.0,2.0,0.0,-1.0,2.0,0.9120631656822724,0.0
183.0,3.0,-1.0,-2.0,2.0,0.9120631656822724,0.0
183.0,4.0,-1.0,-3.0,5.0,0.9120631656822724,0.0
183.0,5.0,0.0,-3.0,2.0,0.9120631656822724,0.0
183.0,6.0,-11.0,-14.0,3.0,0.9120631656822724,1.0
184.0,1.0,0.0,0.0,0.0,0.9111511025165902,0.0
184.0,2.0,0.0,0.0,5.0,0.9111511025165902,0.0
184.0,3.0,0.0,0.0,4.0,0.9111511025165902,0.0
184.0,4.0,0.0,0.0,3.0,0.9111511025165902,0.0
184.0,5.0,0.0,0.0,5.0,0.9111511025165902,0.0
184.0,6.0,0.0,0.0,5.0,0.9111511025165902,0.0
184.0,7.0,0.0,0.0,5.0,0.9111511025165902,0.0
184.0,8.0,0.0,0.0,4.0,0.9111511025165902,0.0
184.0,9.0,0.0,0.0,3.0,0.9111511025165902,0.0
184.0,10.0,-3.0,-3.0,3.0,0.9111511025165902,0.0
184.0,11.0,-3.0,-6.0,3.0,0.9111511025165902,0.0
184.0,12.0,0.0,-6.0,0.0,0.9111511025165902,0.0
184.0,13.0,0.0,-6.0,0.0,0.9111511025165902,0.0
184.0,14.0,-10.0,-16.0,2.0,0.9111511025165902,1.0
185.0,1.0,0.0,0.0,0.0,0.9102399514140735,0.0
185.0,2.0,0.0,0.0,4.0,0.9102399514140735,0.0
185.0,3.0,0.0,0.0,5.0,0.9102399514140735,0.0
185.0,4.0,0.0,0.0,0.0,0.9102399514140735,0.0
185.0,5.0,-10.0,-10.0,0.0,0.9102399514140735,1.0
186.0,1.0,0.0,0.0,2.0,0.9093297114626595,0.0
186.0,2.0,-3.0,-3.0,3.0,0.9093297114626595,0.0
186.0,3.0,-3.0,-6.0,5.0,0.9093297114626595,0.0
186.0,4.0,-3.0,-9.0,4.0,0.9093297114626595,0.0
186.0,5.0,0.0,-9.0,0.0,0.9093297114626595,0.0
186.0,6.0,-3.0,-12.0,1.0,0.9093297114626595,0.0
186.0,7.0,-3.0,-15.0,4.0,0.9093297114626595,0.0
186.0,8.0,0.0,-15.0,1.0,0.9093297114626595,0.0
186.0,9.0,0.0,-15.0,5.0,0.9093297114626595,0.0
186.0,10.0,-13.0,-28.0,0.0,0.9093297114626595,1.0
187.0,1.0,-10.0,-10.0,2.0,0.9084203817511969,1.0
188.0,1.0,0.0,0.0,3.0,0.9075119613694457,0.0
188.0,2.0,0.0,0.0,4.0,0.9075119613694457,0.0
188.0,3.0,-3.0,-3.0,1.0,0.9075119613694457,0.0
188.0,4.0,-3.0,-6.0,5.0,0.9075119613694457,0.0
188.0,5.0,0.0,-6.0,0.0,0.9075119613694457,0.0
188.0,6.0,0.0,-6.0,4.0,0.9075119613694457,0.0
188.0,7.0,-3.0,-9.0,3.0,0.9075119613694457,0.0
188.0,8.0,0.0,-9.0,3.0,0.9075119613694457,0.0
188.0,9.0,0.0,-9.0,4.0,0.9075119613694457,0.0
188.0,10.0,0.0,-9.0,0.0,0.9075119613694457,0.0
188.0,11.0,0.0,-9.0,1.0,0.9075119613694457,0.0
188.0,12.0,-1.0,-10.0,3.0,0.9075119613694457,0.0
188.0,13.0,-1.0,-11.0,4.0,0.9075119613694457,0.0
188.0,14.0,0.0,-11.0,0.0,0.9075119613694457,0.0
188.0,15.0,-1.0,-12.0,0.0,0.9075119613694457,0.0
188.0,16.0,-1.0,-13.0,4.0,0.9075119613694457,0.0
188.0,17.0,-1.0,-14.0,5.0,0.9075119613694457,0.0
188.0,18.0,-1.0,-15.0,5.0,0.9075119613694457,0.0
188.0,19.0,-1.0,-16.0,5.0,0.9075119613694457,0.0
188.0,20.0,-3.0,-19.0,0.0,0.9075119613694457,0.0
188.0,21.0,0.0,-19.0,0.0,0.9075119613694457,0.0
188.0,22.0,-13.0,-32.0,1.0,0.9075119613694457,1.0
189.0,1.0,0.0,0.0,3.0,0.9066044494080763,0.0
189.0,2.0,-1.0,-1.0,0.0,0.9066044494080763,0.0
189.0,3.0,0.0,-1.0,0.0,0.9066044494080763,0.0
189.0,4.0,0.0,-1.0,2.0,0.9066044494080763,0.0
189.0,5.0,0.0,-1.0,0.0,0.9066044494080763,0.0
189.0,6.0,0.0,-1.0,1.0,0.9066044494080763,0.0
189.0,7.0,0.0,-1.0,4.0,0.9066044494080763,0.0
189.0,8.0,0.0,-1.0,5.0,0.9066044494080763,0.0
189.0,9.0,0.0,-1.0,4.0,0.9066044494080763,0.0
189.0,10.0,-10.0,-11.0,2.0,0.9066044494080763,1.0
190.0,1.0,0.0,0.0,0.0,0.9056978449586682,0.0
190.0,2.0,0.0,0.0,5.0,0.9056978449586682,0.0
190.0,3.0,-1.0,-1.0,3.0,0.9056978449586682,0.0
190.0,4.0,-1.0,-2.0,4.0,0.9056978449586682,0.0
190.0,5.0,0.0,-2.0,2.0,0.9056978449586682,0.0
190.0,6.0,0.0,-2.0,4.0,0.9056978449586682,0.0
190.0,7.0,0.0,-2.0,4.0,0.9056978449586682,0.0
190.0,8.0,0.0,-2.0,4.0,0.9056978449586682,0.0
190.0,9.0,0.0,-2.0,1.0,0.9056978449586682,0.0
190.0,10.0,0.0,-2.0,0.0,0.9056978449586682,0.0
190.0,11.0,-1.0,-3.0,3.0,0.9056978449586682,0.0
190.0,12.0,0.0,-3.0,0.0,0.9056978449586682,0.0
190.0,13.0,0.0,-3.0,0.0,0.9056978449586682,0.0
190.0,14.0,0.0,-3.0,2.0,0.9056978449586682,0.0
190.0,15.0,0.0,-3.0,4.0,0.9056978449586682,0.0
190.0,16.0,0.0,-3.0,0.0,0.9056978449586682,0.0
190.0,17.0,0.0,-3.0,3.0,0.9056978449586682,0.0
190.0,18.0,0.0,-3.0,3.0,0.9056978449586682,0.0
190.0,19.0,0.0,-3.0,1.0,0.9056978449586682,0.0
190.0,20.0,0.0,-3.0,4.0,0.9056978449586682,0.0
190.0,21.0,0.0,-3.0,2.0,0.9056978449586682,0.0
190.0,22.0,0.0,-3.0,4.0,0.9056978449586682,0.0
190.0,23.0,0.0,-3.0,5.0,0.9056978449586682,0.0
190.0,24.0,0.0,-3.0,0.0,0.9056978449586682,0.0
190.0,25.0,0.0,-3.0,0.0,0.9056978449586682,0.0
190.0,26.0,0.0,-3.0,3.0,0.9056978449586682,0.0
190.0,27.0,0.0,-3.0,1.0,0.9056978449586682,0.0
190.0,28.0,0.0,-3.0,0.0,0.9056978449586682,0.0
190.0,29.0,0.0,-3.0,5.0,0.9056978449586682,0.0
190.0,30.0,0.0,-3.0,2.0,0.9056978449586682,0.0
190.0,31.0,-3.0,-6.0,0.0,0.9056978449586682,0.0
190.0,32.0,-3.0,-9.0,4.0,0.9056978449586682,0.0
190.0,33.0,0.0,-9.0,2.0,0.9056978449586682,0.0
190.0,34.0,-3.0,-12.0,3.0,0.9056978449586682,0.0
190.0,35.0,-3.0,-15.0,4.0,0.9056978449586682,0.0
190.0,36.0,-3.0,-18.0,5.0,0.9056978449586682,0.0
190.0,37.0,0.0,-18.0,2.0,0.9056978449586682,0.0
190.0,38.0,0.0,-18.0,0.0,0.9056978449586682,0.0
190.0,39.0,0.0,-18.0,4.0,0.9056978449586682,0.0
190.0,40.0,0.0,-18.0,1.0,0.9056978449586682,0.0
190.0,41.0,0.0,-18.0,2.0,0.9056978449586682,0.0
190.0,42.0,0.0,-18.0,3.0,0.9056978449586682,0.0
190.0,43.0,0.0,-18.0,0.0,0.9056978449586682,0.0
190.0,44.0,0.0,-18.0,3.0,0.9056978449586682,0.0
190.0,45.0,-13.0,-31.0,3.0,0.9056978449586682,1.0
191.0,1.0,0.0,0.0,0.0,0.9047921471137096,0.0
191.0,2.0,0.0,0.0,4.0,0.9047921471137096,0.0
191.0,3.0,-3.0,-3.0,1.0,0.9047921471137096,0.0
191.0,4.0,-3.0,-6.0,4.0,0.9047921471137096,0.0
191.0,5.0,0.0,-6.0,0.0,0.9047921471137096,0.0
191.0,6.0,0.0,-6.0,2.0,0.9047921471137096,0.0
191.0,7.0,-3.0,-9.0,1.0,0.9047921471137096,0.0
191.0,8.0,0.0,-9.0,0.0,0.9047921471137096,0.0
191.0,9.0,0.0,-9.0,0.0,0.9047921471137096,0.0
191.0,10.0,0.0,-9.0,5.0,0.9047921471137096,0.0
191.0,11.0,0.0,-9.0,0.0,0.9047921471137096,0.0
191.0,12.0,0.0,-9.0,1.0,0.9047921471137096,0.0
191.0,13.0,0.0,-9.0,5.0,0.9047921471137096,0.0
191.0,14.0,0.0,-9.0,4.0,0.9047921471137096,0.0
191.0,15.0,0.0,-9.0,3.0,0.9047921471137096,0.0
191.0,16.0,0.0,-9.0,5.0,0.9047921471137096,0.0
191.0,17.0,0.0,-9.0,5.0,0.9047921471137096,0.0
191.0,18.0,-13.0,-22.0,0.0,0.9047921471137096,1.0
192.0,1.0,0.0,0.0,1.0,0.9038873549665959,0.0
192.0,2.0,0.0,0.0,5.0,0.9038873549665959,0.0
192.0,3.0,0.0,0.0,2.0,0.9038873549665959,0.0
192.0,4.0,0.0,0.0,2.0,0.9038873549665959,0.0
192.0,5.0,0.0,0.0,0.0,0.9038873549665959,0.0
192.0,6.0,0.0,0.0,0.0,0.9038873549665959,0.0
192.0,7.0,0.0,0.0,5.0,0.9038873549665959,0.0
192.0,8.0,0.0,0.0,2.0,0.9038873549665959,0.0
192.0,9.0,0.0,0.0,0.0,0.9038873549665959,0.0
192.0,10.0,-13.0,-13.0,2.0,0.9038873549665959,1.0
193.0,1.0,-3.0,-3.0,2.0,0.9029834676116293,0.0
193.0,2.0,-3.0,-6.0,1.0,0.9029834676116293,0.0
193.0,3.0,0.0,-6.0,2.0,0.9029834676116293,0.0
193.0,4.0,0.0,-6.0,5.0,0.9029834676116293,0.0
193.0,5.0,0.0,-6.0,1.0,0.9029834676116293,0.0
193.0,6.0,0.0,-6.0,2.0,0.9029834676116293,0.0
193.0,7.0,0.0,-6.0,3.0,0.9029834676116293,0.0
193.0,8.0,0.0,-6.0,0.0,0.9029834676116293,0.0
193.0,9.0,-13.0,-19.0,0.0,0.9029834676116293,1.0
194.0,1.0,-3.0,-3.0,4.0,0.9020804841440176,0.0
194.0,2.0,0.0,-3.0,0.0,0.9020804841440176,0.0
194.0,3.0,-1.0,-4.0,0.0,0.9020804841440176,0.0
194.0,4.0,-1.0,-5.0,3.0,0.9020804841440176,0.0
194.0,5.0,-1.0,-6.0,5.0,0.9020804841440176,0.0
194.0,6.0,0.0,-6.0,3.0,0.9020804841440176,0.0
194.0,7.0,0.0,-6.0,4.0,0.9020804841440176,0.0
194.0,8.0,0.0,-6.0,5.0,0.9020804841440176,0.0
194.0,9.0,0.0,-6.0,0.0,0.9020804841440176,0.0
194.0,10.0,0.0,-6.0,1.0,0.9020804841440176,0.0
194.0,11.0,-10.0,-16.0,0.0,0.9020804841440176,1.0
195.0,1.0,0.0,0.0,3.0,0.9011784036598737,0.0
195.0,2.0,-1.0,-1.0,1.0,0.9011784036598737,0.0
195.0,3.0,0.0,-1.0,2.0,0.9011784036598737,0.0
